OriginCode;DestinCode;WeekDay;HourDeparture;ModelAircraft;FlightDuration
EGPD ;EGKK ;3;19;A320;78.85
LIPZ ;EGKK ;3;19;A319;99.76666666666667
LIMC ;EGGW ;3;20;A319;90.53333333333333
LIMC ;EGKK ;3;20;A319;82.85
EDDK ;EGKK ;3;20;A319;60.65
EGKK ;EGAA ;3;20;A319;65.28333333333333
EGSS ;EGPF ;3;20;A319;45.85
EGPH ;EGKK ;3;20;A319;68.23333333333333
LIMC ;EBBR ;4;4;A319;59.96666666666667
EKCH ;EGKK ;4;4;A319;90.93333333333334
EGAA ;EGAA ;4;5;A319;372.95
EGKK ;EGKK ;4;5;A320;150.91666666666666
